rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,ma_long,trades,win_rate,invested,profit,return_pct,avg_return,max_water
30,40,70,45,OFF,50,200,10,100.0,17000,2816.018644112498,16.56481555360293,15.716150142112735,3
30,40,70,50,OFF,40,200,10,100.0,17000,2815.3394973508157,16.560820572651856,15.636368365303136,3
30,40,70,50,OFF,50,200,10,100.0,17000,2815.3394973508157,16.560820572651856,15.636368365303136,3
35,40,65,55,OFF,40,200,18,100.0,40000,2802.5196737971846,7.006299184492962,8.215611383494625,10
35,40,65,55,OFF,50,200,18,100.0,40000,2802.5196737971846,7.006299184492962,8.215611383494625,10
35,40,65,55,ON,50,200,16,100.0,30000,2740.23802723506,9.1341267574502,8.78562748093078,4
30,35,70,55,OFF,40,200,10,100.0,18000,2725.4891373362107,15.141606318534503,13.95996617566841,3
30,35,70,55,OFF,50,200,10,100.0,18000,2725.4891373362107,15.141606318534503,13.95996617566841,3
30,40,70,40,OFF,40,200,10,100.0,17000,2693.3530306723933,15.843253121602313,15.190477537959746,3
30,40,70,40,OFF,50,200,10,100.0,17000,2693.3530306723933,15.843253121602313,15.190477537959746,3
35,45,65,50,ON,40,200,15,100.0,26000,2691.09573009132,10.350368192658923,10.395115123002663,3
35,40,65,55,ON,40,200,15,100.0,28000,2687.2023095849136,9.597151105660405,9.202861606442983,4
35,45,70,55,ON,40,200,12,100.0,26000,2633.3313043806816,10.128197324541082,10.432573596079962,3
30,40,65,50,OFF,40,200,11,100.0,17000,2632.38432306872,15.484613665110118,14.576005249112264,3
30,40,65,50,OFF,50,200,11,100.0,17000,2632.38432306872,15.484613665110118,14.576005249112264,3
30,40,65,45,OFF,40,200,11,100.0,17000,2617.13816939534,15.394930408207882,14.503758678620416,3
30,40,65,45,OFF,50,200,11,100.0,17000,2617.13816939534,15.394930408207882,14.503758678620416,3
30,45,70,45,OFF,40,200,10,100.0,16000,2592.012532935826,16.200078330848914,14.696203371632805,3
30,45,70,45,OFF,50,200,10,100.0,16000,2592.012532935826,16.200078330848914,14.696203371632805,3
30,45,70,50,OFF,50,200,10,100.0,16000,2583.502667718958,16.146891673243488,14.62072869875394,3
30,45,70,50,OFF,40,200,10,100.0,16000,2583.502667718958,16.146891673243488,14.62072869875394,3
35,45,65,55,ON,50,200,15,100.0,28000,2547.58445069443,9.09851589533725,8.844274008340332,4
30,40,65,40,OFF,40,200,11,100.0,17000,2491.2035558574225,14.654138563867193,13.693911488396612,3
30,40,65,40,OFF,50,200,11,100.0,17000,2491.2035558574225,14.654138563867193,13.693911488396612,3
30,45,70,40,OFF,40,200,10,100.0,16000,2482.3848177875702,15.514905111172315,14.174390568042716,3
30,45,70,40,OFF,50,200,10,100.0,16000,2482.3848177875702,15.514905111172315,14.174390568042716,3
30,35,65,50,OFF,40,200,11,100.0,18000,2459.1161303605286,13.661756279780715,13.843298620284866,3
30,35,65,50,OFF,50,200,11,100.0,18000,2459.1161303605286,13.661756279780715,13.843298620284866,3
30,45,65,50,OFF,50,200,11,100.0,16000,2401.9896541109147,15.012435338193217,13.620501778306776,3
30,45,65,50,OFF,40,200,11,100.0,16000,2401.9896541109147,15.012435338193217,13.620501778306776,3
30,45,65,45,OFF,50,200,11,100.0,16000,2394.6997515107505,14.966873446942191,13.54548086440545,3
30,45,65,45,OFF,40,200,11,100.0,16000,2394.6997515107505,14.966873446942191,13.54548086440545,3
30,45,65,40,OFF,40,200,11,100.0,16000,2281.828804452999,14.261430027831242,12.740608774251,3
30,45,65,40,OFF,50,200,11,100.0,16000,2281.828804452999,14.261430027831242,12.740608774251,3
30,40,70,55,OFF,50,200,10,100.0,17000,2250.179068178949,13.23634745987617,12.819342773301162,3
30,40,70,55,OFF,40,200,10,100.0,17000,2250.179068178949,13.23634745987617,12.819342773301162,3
35,45,65,55,ON,40,200,15,100.0,26000,2206.6363138902557,8.487062745731752,8.423543447436149,3
30,45,70,55,OFF,50,200,10,100.0,16000,2023.9959495729308,12.649974684830816,11.857386856004476,3
30,45,70,55,OFF,40,200,10,100.0,16000,2023.9959495729308,12.649974684830816,11.857386856004476,3
35,45,65,55,OFF,50,200,18,100.0,36000,2012.9898790912698,5.591638553031305,7.24972151657097,9
35,45,65,55,OFF,40,200,18,100.0,36000,2012.9898790912698,5.591638553031305,7.24972151657097,9
30,40,65,55,OFF,50,200,11,100.0,17000,1880.2360937395208,11.060212316114828,10.95018495623282,3
30,40,65,55,OFF,40,200,11,100.0,17000,1880.2360937395208,11.060212316114828,10.95018495623282,3
30,35,65,55,OFF,50,200,11,100.0,18000,1696.186864813643,9.423260360075794,10.156456528921359,3
30,35,65,55,OFF,40,200,11,100.0,18000,1696.186864813643,9.423260360075794,10.156456528921359,3
30,45,65,55,OFF,40,200,11,100.0,16000,1657.7239533317504,10.36077470832344,10.050264618173175,3
30,45,65,55,OFF,50,200,11,100.0,16000,1657.7239533317504,10.36077470832344,10.050264618173175,3
