rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,total_trades,win_rate,total_invested,total_profit,total_return,max_water
35,40,70,45,ON,40,13,100.0,32000,7797.709686309021,24.367842769715693,5
35,40,75,50,ON,50,12,100.0,33000,7728.358097025498,23.419266960683327,5
35,40,75,50,ON,40,12,100.0,32000,7537.992497273081,23.55622655397838,5
40,45,70,55,ON,40,15,100.0,43000,7525.105602857605,17.50024558804094,9
40,45,65,45,ON,40,18,100.0,43000,7487.937220675349,17.41380748994267,5
40,45,75,55,ON,50,12,100.0,42000,7418.182909816083,17.662340261466866,8
40,45,70,50,ON,50,16,100.0,42000,7323.671617047464,17.43731337392253,7
40,45,70,55,OFF,50,20,100.0,55000,7318.038982264196,13.305525422298539,8
40,45,70,55,OFF,40,20,100.0,55000,7318.038982264196,13.305525422298539,8
35,40,75,40,ON,50,10,100.0,29000,7275.682638360182,25.08856082193166,5
40,45,65,45,ON,50,18,100.0,42000,7247.817224500895,17.256707677383083,5
35,45,75,50,OFF,40,13,100.0,30000,7204.122362912983,24.013741209709945,5
35,45,75,50,OFF,50,13,100.0,30000,7204.122362912983,24.013741209709945,5
35,40,75,40,OFF,50,12,100.0,33000,7166.374852972304,21.716287433249406,6
35,40,75,40,OFF,40,12,100.0,33000,7166.374852972304,21.716287433249406,6
35,40,75,40,ON,40,10,100.0,28000,7158.846001321539,25.567307147576923,5
35,40,70,50,OFF,50,16,100.0,37000,7110.450854045024,19.217434740662227,6
35,40,70,50,OFF,40,16,100.0,37000,7110.450854045024,19.217434740662227,6
40,45,70,40,ON,40,14,100.0,40000,7098.807563627015,17.74701890906754,9
40,45,65,40,ON,40,15,100.0,40000,7013.481996044716,17.53370499011179,9
35,45,75,50,ON,40,10,100.0,26000,6986.515060919284,26.87121177276648,5
30,35,80,50,OFF,40,7,100.0,16000,6910.465185553121,43.19040740970701,5
30,35,80,50,OFF,50,7,100.0,16000,6910.465185553121,43.19040740970701,5
35,40,70,50,ON,50,14,100.0,33000,6894.556575020759,20.892595681881087,5
40,45,70,40,ON,50,14,100.0,39000,6853.003356974232,17.571803479421106,8
35,45,75,45,OFF,40,13,100.0,30000,6812.575326994643,22.708584423315475,5
35,45,75,45,OFF,50,13,100.0,30000,6812.575326994643,22.708584423315475,5
40,45,65,40,ON,50,15,100.0,39000,6767.6777893919325,17.353019972799828,8
35,45,75,45,ON,40,10,100.0,26000,6746.824996880865,25.94932691108025,5
30,35,80,45,OFF,40,7,100.0,16000,6743.627644520697,42.14767277825435,5
30,35,80,45,OFF,50,7,100.0,16000,6743.627644520697,42.14767277825435,5
35,40,70,50,ON,40,14,100.0,32000,6704.190975268342,20.95059679771357,5
35,45,75,45,ON,50,10,100.0,26000,6671.923284533678,25.66124340205261,5
35,40,70,40,ON,50,12,100.0,29000,6654.593674285298,22.946874738914822,5
35,40,65,45,OFF,50,18,100.0,37000,6563.0683397859975,17.738022539962156,4
35,40,65,45,OFF,40,18,100.0,37000,6563.0683397859975,17.738022539962156,4
35,40,70,40,OFF,40,14,100.0,33000,6545.285888897421,19.834199663325517,6
35,40,70,40,OFF,50,14,100.0,33000,6545.285888897421,19.834199663325517,6
35,40,70,40,ON,40,12,100.0,28000,6537.757037246657,23.34913227588092,5
30,35,80,55,OFF,40,7,100.0,16000,6391.025812945106,39.943911330906914,5
30,35,80,55,OFF,50,7,100.0,16000,6391.025812945106,39.943911330906914,5
35,40,75,55,ON,50,12,100.0,33000,6315.9402015110745,19.13921273185174,5
30,35,80,45,ON,40,6,100.0,14000,6312.523266317361,45.089451902266866,5
