rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,total_trades,win_rate,total_invested,total_profit,total_return,max_water
35,40,75,40,OFF,50,10,100.0,29000,9416.79509127544,32.47170721129462,8
35,40,75,40,OFF,40,10,100.0,29000,9416.79509127544,32.47170721129462,8
30,40,80,50,OFF,50,5,100.0,9000,9402.941069298482,104.47712299220535,4
30,40,80,50,OFF,40,5,100.0,9000,9402.941069298482,104.47712299220535,4
30,40,80,55,OFF,50,5,100.0,9000,9344.088710015061,103.82320788905623,4
30,40,80,55,OFF,40,5,100.0,9000,9344.088710015061,103.82320788905623,4
30,35,80,45,ON,40,5,100.0,10000,9289.11775162251,92.89117751622511,5
30,35,80,45,ON,50,5,100.0,10000,9158.292610346862,91.58292610346862,5
30,35,80,50,ON,40,5,100.0,10000,9001.582939725458,90.01582939725459,5
30,35,80,55,ON,40,5,100.0,10000,8958.347253103007,89.58347253103007,5
40,45,75,45,ON,50,12,100.0,39000,8948.384959084937,22.944576818166503,8
30,40,80,40,OFF,40,5,100.0,9000,8926.527725590851,99.1836413954539,4
30,40,80,40,OFF,50,5,100.0,9000,8926.527725590851,99.1836413954539,4
40,45,75,45,ON,40,12,100.0,38000,8877.440804161353,23.3616863267404,8
40,45,70,50,OFF,50,18,100.0,55000,8877.149202838034,16.140271277887337,11
40,45,70,50,OFF,40,18,100.0,55000,8877.149202838034,16.140271277887337,11
40,45,65,45,OFF,40,23,100.0,56000,8873.26129149994,15.845109449107037,10
40,45,65,45,OFF,50,23,100.0,56000,8873.26129149994,15.845109449107037,10
30,35,80,50,ON,50,5,100.0,10000,8869.871746487841,88.69871746487841,5
30,35,80,55,ON,50,5,100.0,10000,8830.969320733358,88.30969320733358,5
40,45,75,40,ON,50,12,100.0,39000,8763.946627566023,22.47165801940006,8
40,45,75,40,ON,40,12,100.0,38000,8731.939268014152,22.978787547405663,8
35,40,75,55,OFF,40,10,100.0,29000,8709.908667949116,30.03416782051419,8
35,40,75,55,OFF,50,10,100.0,29000,8709.908667949116,30.03416782051419,8
30,35,80,40,ON,40,5,100.0,10000,8529.415020527129,85.2941502052713,5
30,35,80,40,ON,50,5,100.0,10000,8403.163414451952,84.03163414451951,5
40,45,75,50,ON,50,12,100.0,39000,8093.81901653119,20.753382093669718,8
30,40,80,45,ON,40,5,100.0,9000,8031.192269359589,89.23546965955099,4
35,45,75,45,OFF,50,10,100.0,25000,8030.727788113367,32.12291115245346,7
35,45,75,45,OFF,40,10,100.0,25000,8030.727788113367,32.12291115245346,7
40,45,75,50,ON,40,12,100.0,38000,7993.94721250817,21.036703190810975,8
30,45,80,45,OFF,40,5,100.0,8000,7972.864606160529,99.66080757700661,3
30,45,80,45,OFF,50,5,100.0,8000,7972.864606160529,99.66080757700661,3
35,45,75,40,OFF,40,10,100.0,25000,7907.673946617918,31.63069578647167,7
35,45,75,40,OFF,50,10,100.0,25000,7907.673946617918,31.63069578647167,7
30,40,80,45,ON,50,5,100.0,9000,7900.367128083937,87.78185697871041,4
30,45,80,50,OFF,50,5,100.0,8000,7829.653801266546,97.87067251583183,3
30,45,80,50,OFF,40,5,100.0,8000,7829.653801266546,97.87067251583183,3
30,40,80,50,ON,40,5,100.0,9000,7809.92717882273,86.77696865358588,4
30,45,80,55,OFF,50,5,100.0,8000,7770.392278604809,97.12990348256011,3
30,45,80,55,OFF,40,5,100.0,8000,7770.392278604809,97.12990348256011,3
30,40,80,55,ON,40,5,100.0,9000,7766.596205717261,86.29551339685845,4
40,45,65,50,OFF,50,23,100.0,56000,7729.370147441146,13.80244669185919,10
40,45,65,50,OFF,40,23,100.0,56000,7729.370147441146,13.80244669185919,10
35,45,75,50,OFF,50,10,100.0,25000,7726.480497898981,30.905921991595925,7
35,45,75,50,OFF,40,10,100.0,25000,7726.480497898981,30.905921991595925,7
30,40,80,50,ON,50,5,100.0,9000,7678.215985585114,85.31351095094571,4
30,40,80,55,ON,50,5,100.0,9000,7639.21827334761,84.88020303719567,4
40,45,70,40,ON,50,14,100.0,39000,7558.978803206439,19.381996931298563,8
40,45,70,40,ON,40,14,100.0,38000,7526.971443654567,19.80781958856465,8
30,45,80,40,OFF,50,5,100.0,8000,7404.046257184573,92.55057821480716,3
30,45,80,40,OFF,40,5,100.0,8000,7404.046257184573,92.55057821480716,3
30,40,80,40,ON,40,5,100.0,9000,7380.937828049499,82.01042031166111,4
40,45,75,55,ON,50,12,100.0,39000,7371.027993321137,18.900071777746504,8
40,45,70,55,OFF,50,18,100.0,55000,7350.166030570893,13.363938237401623,11
40,45,70,55,OFF,40,18,100.0,55000,7350.166030570893,13.363938237401623,11
40,45,75,55,ON,40,12,100.0,38000,7326.739544398024,19.280893537889536,8
40,45,70,45,ON,50,14,100.0,39000,7258.984667050975,18.6127811975666,8
30,40,80,40,ON,50,5,100.0,9000,7254.6862219743225,80.60762468860358,4
40,45,70,45,ON,40,14,100.0,38000,7188.040512127393,18.91589608454577,8
40,45,65,40,ON,50,17,100.0,39000,7102.306261952681,18.211041697314567,7
40,45,65,40,ON,40,17,100.0,38000,7070.298902400808,18.60604974316002,7
35,45,75,55,OFF,40,10,100.0,25000,7029.7301238913315,28.118920495565327,7
35,45,75,55,OFF,50,10,100.0,25000,7029.7301238913315,28.118920495565327,7
40,45,70,50,ON,50,14,100.0,39000,6597.86018002486,16.91759020519195,8
30,45,80,45,ON,40,5,100.0,8000,6510.2354073272045,81.37794259159006,3
40,45,70,50,ON,40,14,100.0,38000,6497.988376001841,17.09996941053116,8
30,45,80,45,ON,50,5,100.0,8000,6379.410266051552,79.74262832564439,3
30,45,80,50,ON,40,5,100.0,8000,6361.545516125336,79.5193189515667,3
40,45,65,45,ON,50,19,100.0,40000,6332.940425044329,15.832351062610822,7
30,45,80,55,ON,40,5,100.0,8000,6317.805379641547,78.97256724551934,3
40,45,65,45,ON,40,19,100.0,39000,6261.996270120745,16.056400692617295,7
30,45,80,50,ON,50,5,100.0,8000,6229.834322887718,77.87292903609648,3
30,45,80,55,ON,50,5,100.0,8000,6190.427447271896,77.3803430908987,3
30,45,80,40,ON,40,5,100.0,8000,5980.8884112347605,74.76110514043451,3
35,40,75,45,ON,40,9,100.0,21000,5949.536567285593,28.331126510883774,3
35,40,75,45,ON,50,9,100.0,21000,5859.487390786221,27.90232090850581,3
30,45,80,40,ON,50,5,100.0,8000,5854.636805159583,73.18296006449478,3
35,40,70,40,OFF,40,10,100.0,29000,5831.799623250668,20.109653873278166,8
35,40,70,40,OFF,50,10,100.0,29000,5831.799623250668,20.109653873278166,8
35,40,75,40,ON,40,9,100.0,21000,5695.025942702563,27.11917115572649,3
40,45,65,50,ON,50,19,100.0,40000,5632.31670131289,14.080791753282224,7
35,40,70,45,OFF,50,10,100.0,29000,5617.034742693703,19.36908531963346,8
35,40,70,45,OFF,40,10,100.0,29000,5617.034742693703,19.36908531963346,8
35,40,75,40,ON,50,9,100.0,21000,5597.633230462979,26.655396335537993,3
40,45,65,55,OFF,50,24,100.0,56000,5565.715895347493,9.938778384549094,10
40,45,65,55,OFF,40,24,100.0,56000,5565.715895347493,9.938778384549094,10
40,45,65,50,ON,40,19,100.0,39000,5532.444897289871,14.185756146897106,7
35,40,75,50,ON,40,9,100.0,21000,5493.3954514022635,26.159025959058397,3
35,40,75,50,ON,50,9,100.0,21000,5402.225692065619,25.724884247931517,3
40,45,70,55,ON,50,14,100.0,39000,5229.839037602712,13.4098436861608,8
40,45,70,55,ON,40,14,100.0,38000,5183.612927393335,13.641086651035092,8
35,40,70,50,OFF,40,10,100.0,29000,5075.893992373831,17.503082732323556,8
35,40,70,50,OFF,50,10,100.0,29000,5075.893992373831,17.503082732323556,8
35,40,75,55,ON,40,9,100.0,21000,5073.662381203318,24.16029705334913,3
35,40,65,45,OFF,50,12,100.0,29000,5004.408348917492,17.25658051350859,8
35,40,65,45,OFF,40,12,100.0,29000,5004.408348917492,17.25658051350859,8
35,40,75,55,ON,50,9,100.0,21000,4983.6070759205995,23.73146226628857,3
35,45,70,40,OFF,50,10,100.0,25000,4974.661646681152,19.89864658672461,7
35,45,70,40,OFF,40,10,100.0,25000,4974.661646681152,19.89864658672461,7
35,40,65,40,OFF,40,12,100.0,29000,4926.154210790859,16.986738657899515,8
35,40,65,40,OFF,50,12,100.0,29000,4926.154210790859,16.986738657899515,8
35,45,65,40,OFF,40,11,100.0,25000,4831.041729239707,19.324166916958827,7
35,45,65,40,OFF,50,11,100.0,25000,4831.041729239707,19.324166916958827,7
35,45,70,45,OFF,40,10,100.0,25000,4750.132467064645,19.00052986825858,7
35,45,70,45,OFF,50,10,100.0,25000,4750.132467064645,19.00052986825858,7
35,40,70,55,OFF,40,10,100.0,29000,4683.575487911457,16.150260303142954,8
35,40,70,55,OFF,50,10,100.0,29000,4683.575487911457,16.150260303142954,8
35,45,75,45,ON,50,9,100.0,18000,4672.3533289062225,25.95751849392346,3
35,45,75,45,ON,40,9,100.0,17000,4601.409173982639,27.06711278813317,3
35,45,75,40,ON,50,9,100.0,18000,4549.827201310443,25.27681778505802,3
35,45,75,40,ON,40,9,100.0,17000,4517.81984175857,26.575410833873942,3
35,40,65,50,OFF,40,12,100.0,29000,4462.463416647945,15.387804884992914,8
35,40,65,50,OFF,50,12,100.0,29000,4462.463416647945,15.387804884992914,8
35,40,70,40,ON,40,10,100.0,21000,4442.265992070661,21.153647581288862,3
35,40,70,40,ON,50,10,100.0,21000,4344.873279831077,20.689872761100364,3
35,40,70,45,ON,40,10,100.0,21000,4191.878386655384,19.961325650739926,3
35,45,75,50,ON,50,9,100.0,18000,4188.0055042875665,23.266697246042035,3
35,45,65,45,OFF,40,12,100.0,25000,4147.516045503315,16.590064182013258,7
35,45,65,45,OFF,50,12,100.0,25000,4147.516045503315,16.590064182013258,7
35,45,70,50,OFF,50,10,100.0,25000,4122.812673566621,16.491250694266483,7
35,45,70,50,OFF,40,10,100.0,25000,4122.812673566621,16.491250694266483,7
35,40,70,45,ON,50,10,100.0,21000,4101.829210156012,19.532520048361963,3
35,45,75,50,ON,40,9,100.0,17000,4088.133700264546,24.0478452956738,3
35,40,70,50,ON,40,10,100.0,21000,4070.908741805193,19.385279722881872,3
35,40,70,50,ON,50,10,100.0,21000,3979.7389824685483,18.951138011754992,3
